Date,USD,EUR,BRL,INR,RUB,MXN,ZAR,CAD,CNY,JPY,SGD,EUR Change,BRL Change,INR Change,RUB Change,MXN Change,ZAR Change,CAD Change,CNY Change,JPY Change,SGD Change
01 Sep 2020,1,0.8342,5.4331,72.9194,73.5358,21.7134,16.6396,1.3014,6.819,105.8814,1.3576,0,0,0,0,0,0,0,0,0,0
31 Aug 2020,1,0.8375,5.422,73.2567,73.9525,21.825,16.716,1.3066,6.8435,105.9213,1.3597,0.0033,-0.0111,0.3373,0.4167,0.1116,0.0764,0.0052,0.0245,0.0399,0.0021
30 Aug 2020,1,0.8393,5.5063,73.1956,74.381,21.8791,16.6873,1.3053,6.861,105.2371,1.3592,0.0018,0.0843,-0.0611,0.4285,0.0541,-0.0287,-0.0013,0.0175,-0.6842,-0.0005
29 Aug 2020,1,0.8393,5.5063,73.1956,74.381,21.8791,16.6873,1.3053,6.861,105.2371,1.3592,0,0,0,0,0,0,0,0,0,0
28 Aug 2020,1,0.8393,5.5063,73.1956,74.381,21.8791,16.6873,1.3053,6.861,105.2371,1.3592,0,0,0,0,0,0,0,0,0,0
27 Aug 2020,1,0.847,5.5912,73.9162,75.0805,21.9554,16.9638,1.3147,6.8883,106.1664,1.3661,0.0077,0.0849,0.7206,0.6995,0.0763,0.2765,0.0094,0.0273,0.9293,0.0069
26 Aug 2020,1,0.8482,5.5405,74.3176,75.7968,21.9484,16.795,1.3184,6.893,106.3195,1.3682,0.0012,-0.0507,0.4014,0.7163,-0.007,-0.1688,0.0037,0.0047,0.1531,0.0021
25 Aug 2020,1,0.8465,5.5747,74.2479,74.7926,21.904,16.7669,1.3202,6.9131,106.3738,1.3687,-0.0017,0.0342,-0.0697,-1.0042,-0.0444,-0.0281,0.0018,0.0201,0.0543,0.0005
24 Aug 2020,1,0.8441,5.5661,74.088,74.2783,21.888,16.9333,1.3146,6.9129,105.7314,1.3677,-0.0024,-0.0086,-0.1599,-0.5143,-0.016,0.1664,-0.0056,-0.0002,-0.6424,-0.001
23 Aug 2020,1,0.8497,5.6001,74.9409,74.5475,22.148,17.2467,1.3224,6.9235,105.8119,1.3706,0.0056,0.034,0.8529,0.2692,0.26,0.3134,0.0078,0.0106,0.0805,0.0029
22 Aug 2020,1,0.8497,5.6001,74.9409,74.5475,22.148,17.2467,1.3224,6.9235,105.8119,1.3706,0,0,0,0,0,0,0,0,0,0
21 Aug 2020,1,0.8497,5.6001,74.9409,74.5475,22.148,17.2467,1.3224,6.9235,105.8119,1.3706,0,0,0,0,0,0,0,0,0,0
20 Aug 2020,1,0.8439,5.6079,75.0987,73.9494,22.2542,17.2267,1.321,6.9186,105.8734,1.3688,-0.0058,0.0078,0.1578,-0.5981,0.1062,-0.02,-0.0014,-0.0049,0.0615,-0.0018
19 Aug 2020,1,0.838,5.4567,74.8479,73.3852,22.1093,17.1946,1.3147,6.9113,105.3717,1.3641,-0.0059,-0.1512,-0.2508,-0.5642,-0.1449,-0.0321,-0.0063,-0.0073,-0.5017,-0.0047
18 Aug 2020,1,0.8399,5.4408,74.6506,73.117,22.0583,17.3988,1.3163,6.9215,105.4426,1.3649,0.0019,-0.0159,-0.1973,-0.2682,-0.051,0.2042,0.0016,0.0102,0.0709,0.0008
17 Aug 2020,1,0.8437,5.4135,74.8245,73.5257,22.0133,17.444,1.3232,6.9402,106.2938,1.3699,0.0038,-0.0273,0.1739,0.4087,-0.045,0.0452,0.0069,0.0187,0.8512,0.005
16 Aug 2020,1,0.8465,5.3966,74.8904,73.2964,22.1812,17.4487,1.3247,6.95,106.6706,1.3721,0.0028,-0.0169,0.0659,-0.2293,0.1679,0.0047,0.0015,0.0098,0.3768,0.0022
15 Aug 2020,1,0.8465,5.3966,74.8904,73.2964,22.1812,17.4487,1.3247,6.95,106.6706,1.3721,0,0,0,0,0,0,0,0,0,0
14 Aug 2020,1,0.8465,5.3966,74.8904,73.2964,22.1812,17.4487,1.3247,6.95,106.6706,1.3721,0,0,0,0,0,0,0,0,0,0
13 Aug 2020,1,0.8451,5.3888,74.8449,73.6761,22.3419,17.4432,1.3215,6.9456,106.972,1.3717,-0.0014,-0.0078,-0.0455,0.3797,0.1607,-0.0055,-0.0032,-0.0044,0.3014,-0.0004
12 Aug 2020,1,0.8495,5.4186,74.8033,73.3169,22.3754,17.4239,1.329,6.9457,106.9748,1.3734,0.0044,0.0298,-0.0416,-0.3592,0.0335,-0.0193,0.0075,0.0001,0.0028,0.0017
11 Aug 2020,1,0.8487,5.4373,74.5667,72.7199,22.3227,17.5051,1.3287,6.947,106.0596,1.371,-0.0008,0.0187,-0.2366,-0.597,-0.0527,0.0812,-0.0003,0.0013,-0.9152,-0.0024
10 Aug 2020,1,0.8501,5.415,74.9065,73.6338,22.3622,17.721,1.338,6.9713,106.0444,1.3736,0.0014,-0.0223,0.3398,0.9139,0.0395,0.2159,0.0093,0.0243,-0.0152,0.0026
09 Aug 2020,1,0.8462,5.3545,75.0047,73.6018,22.4361,17.5244,1.3345,6.9593,105.7036,1.3712,-0.0039,-0.0605,0.0982,-0.032,0.0739,-0.1966,-0.0035,-0.012,-0.3408,-0.0024
08 Aug 2020,1,0.8462,5.3545,75.0047,73.6018,22.4361,17.5244,1.3345,6.9593,105.7036,1.3712,0,0,0,0,0,0,0,0,0,0
07 Aug 2020,1,0.8462,5.3545,75.0047,73.6018,22.4361,17.5244,1.3345,6.9593,105.7036,1.3712,0,0,0,0,0,0,0,0,0,0
06 Aug 2020,1,0.8444,5.3483,74.9514,73.4038,22.4732,17.534,1.3297,6.9514,105.5138,1.3709,-0.0018,-0.0062,-0.0533,-0.198,0.0371,0.0096,-0.0048,-0.0079,-0.1898,-0.0003
05 Aug 2020,1,0.8436,5.2565,74.8347,72.8608,22.5346,17.228,1.3247,6.9409,105.7618,1.369,-0.0008,-0.0918,-0.1167,-0.543,0.0614,-0.306,-0.005,-0.0105,0.248,-0.0019
04 Aug 2020,1,0.85,5.333,75.1215,73.7165,22.7285,17.4143,1.3407,6.9832,106.0603,1.3765,0.0064,0.0765,0.2868,0.8557,0.1939,0.1863,0.016,0.0423,0.2985,0.0075
03 Aug 2020,1,0.8528,5.2341,75.2008,73.8545,22.4024,17.2929,1.3436,6.9845,106.1828,1.377,0.0028,-0.0989,0.0793,0.138,-0.3261,-0.1214,0.0029,0.0013,0.1225,0.0005
02 Aug 2020,1,0.844,5.167,74.8105,74.0125,22.1793,16.9615,1.3418,6.9748,104.9207,1.3711,-0.0088,-0.0671,-0.3903,0.158,-0.2231,-0.3314,-0.0018,-0.0097,-1.2621,-0.0059
01 Aug 2020,1,0.844,5.167,74.8105,74.0125,22.1793,16.9615,1.3418,6.9748,104.9207,1.3711,0,0,0,0,0,0,0,0,0,0
31 Jul 2020,1,0.844,5.167,74.8105,74.0125,22.1793,16.9615,1.3418,6.9748,104.9207,1.3711,0,0,0,0,0,0,0,0,0,0
30 Jul 2020,1,0.8516,5.2107,74.8872,73.7659,22.1495,16.7819,1.343,7.0033,105.2372,1.3762,0.0076,0.0437,0.0767,-0.2466,-0.0298,-0.1796,0.0012,0.0285,0.3165,0.0051
29 Jul 2020,1,0.8529,5.13,74.7923,72.42,21.8601,16.4835,1.336,6.9993,105.1429,1.3767,0.0013,-0.0807,-0.0949,-1.3459,-0.2894,-0.2984,-0.007,-0.004,-0.0943,0.0005
28 Jul 2020,1,0.8535,5.1762,74.8605,72.4087,22.0567,16.584,1.3393,7.0019,105.2659,1.3799,0.0006,0.0462,0.0682,-0.0113,0.1966,0.1005,0.0033,0.0026,0.123,0.0032
27 Jul 2020,1,0.8503,5.1802,74.7321,71.4866,22.1159,16.4439,1.3375,7.002,105.3401,1.3789,-0.0032,0.004,-0.1284,-0.9221,0.0592,-0.1401,-0.0018,1E-04,0.0742,-0.001
26 Jul 2020,1,0.8615,5.2358,74.8329,71.8417,22.4676,16.7428,1.342,7.017,106.2715,1.3855,0.0112,0.0556,0.1008,0.3551,0.3517,0.2989,0.0045,0.015,0.9314,0.0066
25 Jul 2020,1,0.8615,5.2358,74.8329,71.8417,22.4676,16.7428,1.342,7.017,106.2715,1.3855,0,0,0,0,0,0,0,0,0,0
24 Jul 2020,1,0.8615,5.2358,74.8329,71.8417,22.4676,16.7428,1.342,7.017,106.2715,1.3855,0,0,0,0,0,0,0,0,0,0
23 Jul 2020,1,0.8644,5.1451,74.8353,71.3738,22.4466,16.6136,1.3386,7.0064,107.1657,1.3859,0.0029,-0.0907,0.0024,-0.4679,-0.021,-0.1292,-0.0034,-0.0106,0.8942,0.0004
22 Jul 2020,1,0.8637,5.1753,74.5276,70.7884,22.3454,16.369,1.3422,6.9959,107.0478,1.3832,-0.0007,0.0302,-0.3077,-0.5854,-0.1012,-0.2446,0.0036,-0.0105,-0.1179,-0.0027
21 Jul 2020,1,0.8739,5.2797,74.6137,70.8584,22.3639,16.4997,1.3457,6.9896,107.2271,1.3887,0.0102,0.1044,0.0861,0.07,0.0185,0.1307,0.0035,-0.0063,0.1793,0.0055
20 Jul 2020,1,0.8735,5.3704,74.8039,71.519,22.5556,16.7199,1.3567,6.9874,107.1191,1.3897,-0.0004,0.0907,0.1902,0.6606,0.1917,0.2202,0.011,-0.0022,-0.108,0.001
19 Jul 2020,1,0.875,5.3237,74.965,71.6144,22.4127,16.6692,1.3572,6.9982,107.2191,1.3902,0.0015,-0.0467,0.1611,0.0954,-0.1429,-0.0507,0.0005,0.0108,0.1,0.0005
