date,totalConfirmed,totalFatalities
1/30/2020,5,0
1/31/2020,5,0
2/1/2020,5,0
2/2/2020,6,0
2/3/2020,7,0
2/4/2020,7,0
2/5/2020,7,0
2/6/2020,7,0
2/7/2020,7,0
2/8/2020,7,0
2/9/2020,7,0
2/10/2020,7,0
2/11/2020,7,0
2/12/2020,7,0
2/13/2020,7,0
2/14/2020,7,0
2/15/2020,7,0
2/16/2020,7,0
2/17/2020,7,0
2/18/2020,7,0
2/19/2020,7,0
2/20/2020,7,0
2/21/2020,7,0
2/22/2020,7,0
2/23/2020,7,0
2/24/2020,7,0
2/25/2020,7,0
2/26/2020,7,0
2/27/2020,7,0
2/28/2020,7,0
2/29/2020,7,0
3/1/2020,7,0
3/2/2020,9,0
3/3/2020,9,0
3/4/2020,31,0
3/5/2020,33,0
3/6/2020,35,0
3/7/2020,38,0
3/8/2020,43,0
3/9/2020,48,0
3/10/2020,54,0
3/11/2020,64,0
3/12/2020,78,0
3/13/2020,85,1
3/14/2020,88,2
3/15/2020,111,2
3/16/2020,118,2
3/17/2020,141,3
3/18/2020,155,3
3/19/2020,195,4
3/20/2020,195,4
3/21/2020,283,4
3/22/2020,341,5
3/23/2020,434,9
3/24/2020,519,9
3/25/2020,606,10
3/26/2020,649,13
3/27/2020,724,17
3/28/2020,724,17
3/29/2020,979,25
3/30/2020,1071,29
3/31/2020,1251,32
4/1/2020,1636,38
4/2/2020,1965,50
4/3/2020,2301,56
4/4/2020,2902,68
4/5/2020,3374,77
4/6/2020,4067,109
4/7/2020,4421,114
4/8/2020,5274,149
4/9/2020,5865,169
4/10/2020,6412,199
4/11/2020,7447,239
4/12/2020,8356,273
4/13/2020,9152,308
4/14/2020,10363,339
4/15/2020,11439,377
4/16/2020,12380,414
4/17/2020,13387,437
4/18/2020,14378,480
4/19/2020,15712,507
4/20/2020,17265,543
4/21/2020,18601,590
4/22/2020,19984,640
4/23/2020,21393,681
4/24/2020,23077,718
4/25/2020,24506,775
4/26/2020,26496,824
4/27/2020,27892,872
4/28/2020,29435,934
4/29/2020,31332,1007
4/30/2020,33050,1074
5/1/2020,35043,1147
5/2/2020,37336,1218
5/3/2020,39980,1301
5/4/2020,42533,1373
5/5/2020,46433,1568
5/6/2020,49391,1694
5/7/2020,52952,1783
5/8/2020,56342,1886
5/9/2020,59662,1981
5/10/2020,62939,2109
5/11/2020,67152,2206
5/12/2020,70756,2293
5/13/2020,74281,2415
5/14/2020,78003,2549
5/15/2020,81970,2649
5/16/2020,85940,2752
5/17/2020,90927,2872
5/18/2020,96169,3029
5/19/2020,101139,3163
5/20/2020,106750,3303
5/21/2020,112359,3435
5/22/2020,118447,3583
5/23/2020,125101,3720
5/24/2020,131868,3867
5/25/2020,138845,4021
5/26/2020,145380,4167
5/27/2020,151767,4337
5/28/2020,158333,4531
5/29/2020,165799,4706
5/30/2020,173763,4971
5/31/2020,182143,5164
6/1/2020,190535,5394
6/2/2020,198706,5598
6/3/2020,207615,5815
6/4/2020,216919,6075
6/5/2020,226770,6348
6/6/2020,236657,6642
6/7/2020,246628,6929
6/8/2020,256611,7135
6/9/2020,266598,7466
6/10/2020,276583,7745
6/11/2020,286579,8102
6/12/2020,297535,8498
6/13/2020,308993,8884
6/14/2020,320922,9195
6/15/2020,332424,9520
6/16/2020,343091,9900
6/17/2020,354065,11903
6/18/2020,366946,12237
6/19/2020,380532,12573
6/20/2020,395048,12948
6/21/2020,410461,13254
6/22/2020,425282,13699
6/23/2020,440215,14011
6/24/2020,456183,14476
6/25/2020,473105,14894
6/26/2020,490401,15301
6/27/2020,508953,15685
6/28/2020,528859,16095
6/29/2020,548318,16475
6/30/2020,566840,16893
7/1/2020,585493,17400
7/2/2020,604641,17834
7/3/2020,625544,18213
7/4/2020,648315,18655
7/5/2020,673165,19268
7/6/2020,697413,19693
7/7/2020,719665,20160
7/8/2020,742417,20642
7/9/2020,767296,21129
7/10/2020,793802,21604
7/11/2020,820916,22123
7/12/2020,849553,22674
7/13/2020,878254,23174
7/14/2020,906752,23727
7/15/2020,936181,24309
7/16/2020,968876,24915
7/17/2020,1003832,25602
7/18/2020,1038716,26273
7/19/2020,1077618,26816
7/20/2020,1118043,27497
7/21/2020,1155191,28084
7/22/2020,1192915,28732
7/23/2020,1238635,29861
7/24/2020,1287945,30601
7/25/2020,1336861,31358
7/26/2020,1385522,32063
7/27/2020,1435453,32771
7/28/2020,1483156,33425
7/29/2020,1531669,34193
7/30/2020,1583792,34968
7/31/2020,1638870,35747
8/1/2020,1695988,36511
8/2/2020,1750723,37364
8/3/2020,1803695,38135
8/4/2020,1855745,38938
8/5/2020,1908254,39795
8/6/2020,1964536,40699
8/7/2020,2027074,41585
8/8/2020,2088611,42518
8/9/2020,2153010,43379
8/10/2020,2215074,44386
8/11/2020,2268675,45257
8/12/2020,2329638,46091
8/13/2020,2396637,47033
8/14/2020,2461190,48040
8/15/2020,2526192,49036
8/16/2020,2589682,49980
8/17/2020,2647663,50921
8/18/2020,2702742,51797
8/19/2020,2767273,52889
8/20/2020,2836925,53866
8/21/2020,2905823,54849
8/22/2020,2975701,55794
8/23/2020,3044940,56706
8/24/2020,3106348,57542
8/25/2020,3167323,58390
8/26/2020,3234474,59449
8/27/2020,3310234,60472
8/28/2020,3387500,61529
8/29/2020,3463972,62550
8/30/2020,3542733,63498
8/31/2020,3621245,64469
9/1/2020,3691166,65288
9/2/2020,3769523,66333
9/3/2020,3853406,67376
